#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-04-23 23:04:00.732
#Trace: Trace 1
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Trace: Trace 3
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: Hold
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.53587 V
#Offset: 3.25771e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51007 V
#Offset: 0.000229542 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.9 kHz
#Period: 526.315789 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg),Trace 3 (dBV),Phase (deg)
0,-47.76900290028831,0,-52.019732263431,0,-56.43713996907909,0
2.44140625,-48.04171638791308,179.7506955793656,-52.33257735572528,179.6603453867226,-56.78329135976668,0.4340990768541835
4.8828125,-51.47750874210661,179.9976658028909,-55.67277262272674,0.09451002076253924,-60.35955508596403,1.172176425921761
7.32421875,-61.75597909509406,179.8430465843973,-64.98438996065696,1.489984049196664,-70.97658684981154,4.771230566610434
9.765625,-82.15837336813969,9.413616391867643,-77.22342103254859,6.72788014742129,-90.3609065987518,36.3872224905124
12.20703125,-87.20763101465236,34.82288563952523,-78.54011082075441,11.18225074108179,-88.46566198346767,44.4177608566504
14.6484375,-83.42823264069037,7.293300405606244,-79.42289547231981,13.34391122725709,-86.67767048421362,41.69670901447331
17.08984375,-78.36682790925374,10.5136031950808,-84.02814799059257,16.62606914051934,-88.76238347983087,34.87033342340774
19.53125,-74.57195220556287,15.90103845392174,-90.33471183404075,35.75937220611318,-92.26234837928749,43.11602492859163
21.97265625,-74.38806108361094,20.75228737500212,-90.63803849547084,66.20771377285431,-99.72284514116043,158.4037347337745
24.4140625,-75.10591971137362,35.84922457087713,-93.03321212530706,68.24641193959613,-92.37367995683647,12.97629062881825
26.85546875,-72.75646645497244,54.61815735737731,-93.26495633813842,129.853657134164,-92.83313027171158,137.0882056088577
