#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
240.0000000000003,-0.004373830119793153,-53.97361973990502,89.66774202732708
245.2304813878546,-0.004275110733622686,-53.72216016639648,89.49620663094564
250.5749541738286,-0.004204606983339904,-53.64096868772709,89.48007151615468
256.0359026491147,-0.004276678471987299,-53.42448378075871,89.51009869163686
261.6158652467344,-0.004345655645474063,-53.1513561380606,89.20851918324463
267.3174357214863,-0.0043337764542297,-53.02961432467271,89.26892131258074
273.143264355612,-0.0042788808753597,-52.84560656547734,89.51466864593067
279.0960591907364,-0.004388412353097115,-52.65482761813239,89.36201820795469
285.1785872866557,-0.004012498557151018,-52.402950593726,89.13648192225045
291.3936760075619,-0.00427750189158922,-52.26743898590694,89.38333562299218
297.7442143362952,-0.004451370985711394,-52.15373521777722,89.42954595886786
304.2331542172425,-0.004247469101161912,-51.90910055794597,89.60279387110711
310.8635119284988,-0.004215797453560438,-51.66668821712891,89.69426393445559
317.6383694839363,-0.004372699911115594,-51.4536923623838,89.39342086428405
324.5608760658289,-0.004240415743170965,-51.33423185893601,89.50969041792663
331.6342494886955,-0.004418985366489834,-51.09273364199037,89.37981596395059
338.8617776950526,-0.004232493543968699,-50.95240112108443,89.28830684266035
346.2468202837576,-0.004262266857437546,-50.72117996071105,89.3930649410427
353.7928100716657,-0.004124473895709227,-50.52789039685524,89.44189599906365
361.5032546893181,-0.004342580339990102,-50.36282112902519,89.63094890747789
369.3817382114067,-0.004323192644847693,-50.19889340413614,88.94478082015746
377.4319228227737,-0.004303499815722355,-49.98105359620461,89.40452432164159
385.6575505207178,-0.004326494382490828,-49.79339368392863,89.16892379330454
394.0624448544019,-0.004072954235809462,-49.51511973740651,89.19590329277587
402.6505127021657,-0.004182911163150659,-49.36532108595699,89.12638820088091
411.4257460875769,-0.004150452043730378,-49.20243805627977,89.19660902252271
420.392224035057,-0.004189100311414013,-49.00849620256,89.14458445173017
429.5541144659489,-0.004192470877400097,-48.80451681446419,88.9657307122672
438.9156761359091,-0.004077081672735884,-48.61194858176756,89.22519319241722
448.481260614519,-0.004060742054551693,-48.43732165063549,89.00109111161224
458.2553143080427,-0.003958243105618147,-48.25409116735818,89.31711199927847
468.2423805262661,-0.004134103119975252,-48.06166675434702,89.10278411719251
478.4471015943797,-0.004268731717836891,-47.83701623392286,89.31039735188943
488.8742210108894,-0.004117971079407071,-47.67388076638903,88.86224359511931
499.5285856525529,-0.004028193564987821,-47.44947744017213,89.18999293447462
510.4151480273732,-0.004041792689091843,-47.2358146493188,89.16186724236977
521.5389685766903,-0.004019329032683766,-47.0542790524891,88.87146493043133
532.9052180274452,-0.004031798308927754,-46.86727404868201,88.95102905236094
544.5191797957078,-0.004317634579559364,-46.68321225936931,88.96368912077264
556.386252442588,-0.004331096810968345,-46.47155994048414,89.17480372450729
568.5119521836671,-0.004212997379238511,-46.26550233829307,88.79068962546746
580.901915453123,-0.003882427652118572,-46.11411966085073,88.78683511248391
593.5619015237334,-0.004182260245787667,-45.93795328781867,88.97646296129105
606.4977951839809,-0.003849354124005079,-45.73680325999543,88.8424719614456
619.7156094734996,-0.004162916165698713,-45.57745272449289,88.76313202676431
633.2214884781415,-0.004003595441552187,-45.36707126279139,88.88404734404821
647.0217101859512,-0.004239534369922978,-45.13531556125606,89.01614603294615
661.1226894053902,-0.004023219402871005,-44.96376808010912,88.95421655613438
675.5309807471532,-0.003830902840321812,-44.76923171481901,88.76488253618106
690.2532816709739,-0.00362608196332347,-44.56299582551498,88.79595890677601
