#Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.003091268473870367,0,0.1199153919827464,0
1.220703125,0.002990386584741149,179.7719319414862,0.1156901725699373,179.9990696527503
2.44140625,0.001993399934815998,179.320364904856,0.07736871112602527,179.9502280924665
3.662109375,0.0005825207878829783,179.7191394362794,0.02334094256906345,179.4466170472222
4.8828125,4.524641025965755e-05,12.21987967756153,0.001692603119885027,170.0104657263335
6.103515625,2.456320833001859e-05,25.11504683226584,0.0003393262058111002,72.74254153578318
7.32421875,2.637652266889177e-05,36.34340827952457,0.000370395512930276,69.13090135726316
8.544921875,2.916287270258107e-05,132.4405606698613,0.0002329587914488844,61.87515101671206
9.765625,7.717619453405695e-05,101.1030942227491,0.0001148302318995858,37.99558001692231
10.986328125,0.000103389415272118,94.1810021705285,0.000108399414530671,12.98831049422851
12.20703125,0.0001092789300413678,96.9431242768986,0.0001277200107056827,152.7811097523166
13.427734375,8.884289578519701e-05,111.6299996348423,0.0001825813040018737,158.0806860353455
14.6484375,5.882786851943065e-05,157.237587375862,0.0002454933484666345,18.86623903659476
15.869140625,6.893863763395217e-05,27.76311271720011,0.0003338477494587411,53.36039605388017
17.08984375,8.128900418277788e-05,37.34698104816634,0.0003849708044663182,63.11563431079104
18.310546875,9.221872504597326e-05,34.25327727963204,0.0003799498017171423,59.49975734692872
19.53125,9.295983739712131e-05,32.94937258021874,0.0002982380950608148,55.9531839609251
20.751953125,8.938916359519878e-05,30.88399508170772,0.0001727215195823137,24.94873851077655
21.97265625,9.13893952255504e-05,36.41581611607571,0.0001391515363490136,172.1975134388477
23.193359375,8.225575120226062e-05,55.24139965420227,5.960605090981666e-05,74.24597571517172
24.4140625,7.258676080617541e-05,75.54671057602069,0.000168934366474851,115.7125669434453
25.634765625,5.089892102510374e-05,93.68856590666611,0.0002077461266066938,113.3277694764822
26.85546875,4.721903053227034e-05,158.8845874244857,0.0002106050241268655,113.369684944194
28.076171875,7.973187929341759e-05,4.934801320529582,0.0002045802920667533,98.66725673036375
29.296875,7.92929025845551e-05,5.407831331138253,0.0002819223765393128,76.77708971876685
30.517578125,6.133227995492545e-05,171.4076080797814,0.0003830452008744056,71.34727945912103
31.73828125,4.81145549858859e-05,144.8240030025886,0.0004769027574474209,72.84028376119899
32.958984375,3.189799632175928e-05,108.0755461625833,0.0005028165391618737,73.11036962705315
34.1796875,1.99383120802798e-05,24.09176333005939,0.0003192959416637705,62.11819069270911
