#Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.002907244028121423,0,0.1593178952191662,0
1.220703125,0.002787988969358164,0.9423051821988609,0.153734674986622,0.001239778882869067
2.44140625,0.001850557947483851,1.831755429483747,0.1027236990289391,0.0232345990150244
3.662109375,0.0005585458282900748,5.592580034751307,0.03082228904136409,0.038258597042916
4.8828125,5.173890130967355e-05,36.60893233989075,0.002127739889345285,0.5822486742372647
6.103515625,1.464343665519035e-05,139.2967720262347,0.0001023319176315809,144.3104629532273
7.32421875,4.460867128698637e-05,123.8327777902058,9.018856772888117e-05,130.4524783165143
8.544921875,4.966816261326414e-05,122.2435105769889,7.177775114007725e-05,111.7366373762469
9.765625,3.560831416047611e-05,116.4576396409819,6.523106760670932e-05,86.98546799615312
10.986328125,1.952709417729993e-05,145.9407778149341,3.491090286492777e-05,81.13652618571336
12.20703125,4.083577904029054e-05,31.08092816735078,4.478873282831288e-05,41.8423563890785
13.427734375,7.213640608348421e-05,42.41742137003155,0.0001414201535491766,43.28054441905232
14.6484375,8.316868932308279e-05,35.86804281629903,0.0002335055941445191,32.58381816509816
15.869140625,7.151739193940233e-05,23.57731269221041,0.0002772992887051836,19.85744003642807
17.08984375,4.918579872344532e-05,4.07304431983199,0.0002280106668977799,6.644453796787413
18.310546875,5.379635325997323e-05,145.7674594219261,0.0001634236773966173,170.2026238198605
19.53125,7.704037759485444e-05,120.4989609351999,0.0001313090455241182,155.4435849685196
20.751953125,8.867494207219435e-05,110.3228188711099,7.254480270691191e-05,143.1124598281051
21.97265625,7.370645236306441e-05,112.1372042453866,1.942193588939675e-05,77.20214677528334
23.193359375,3.835039389810928e-05,111.8827042773178,3.981361698977772e-05,18.38040706416996
24.4140625,1.200322746267562e-05,143.7180769099833,3.62040452932623e-05,157.4803765896266
25.634765625,2.110603827365875e-05,34.84295232664267,2.286563471898257e-05,57.76218089067388
26.85546875,2.842450001223288e-05,19.57357415639973,7.889769275658525e-05,171.357221418121
28.076171875,5.419027895911939e-05,150.875964191981,0.0001417499351085842,172.6960640589352
29.296875,9.171348441593108e-05,127.4691756350787,0.0001513763479576947,167.690021720235
30.517578125,0.0001044970499611156,116.1588312461363,9.755492791957371e-05,151.4777944670265
31.73828125,8.130865288543577e-05,115.2758575718151,2.233157520669495e-05,53.24424154902638
32.958984375,3.391260336382961e-05,125.7893625727953,0.0001413911632507629,113.3791796505696
34.1796875,1.20132305418746e-05,29.04514790824586,0.000236071459786088,115.1810009019244
35.400390625,2.562516832636567e-05,44.95641510742445,0.0002679953910643687,105.6556705320275
36.62109375,4.151597819214986e-05,30.66979945884037,0.0002636584709761614,96.40319746683076
37.841796875,5.262829071644531e-05,177.3028847004009,0.0001795864948728134,90.11003439306602
39.0625,7.270758407846557e-05,152.439590873471,4.682238952669318e-05,48.13118989779766
40.283203125,7.22283554078389e-05,145.5260232925465,6.627616861107888e-05,88.95026794164998
41.50390625,5.700956345643807e-05,124.0989710346442,0.0001418396693533766,51.65938354837929
42.724609375,6.362920114966014e-05,88.72252662944224,0.0001871167813818039,34.98010682890217
43.9453125,8.441069705376593e-05,70.11134644465336,0.0002030946467173333,18.52420161208013
45.166015625,9.699494652481408e-05,62.46591384449343,0.0002099725919418552,4.699017562715941
46.38671875,8.975103615299435e-05,62.21445989325621,0.0001923056027042383,2.4600364593511
47.607421875,6.275558156088729e-05,66.53620617370181,0.0001629879350428982,28.17411973179182
48.828125,1.985711925307635e-05,74.33157668083608,0.0001449713628827864,58.51344592595162
50.048828125,2.523413574049498e-05,62.73073911211212,8.699809567154989e-05,88.98853040939414
